Name;Station;Date;Maximum Temp (C);Mean Temp (C);Minimum Temp (C)
Oslo - Blindern;SN18700;01.01.2022;-1.8;-2.3;-4.2
Oslo - Blindern;SN18700;02.01.2022;1;0.3;-1.8
Oslo - Blindern;SN18700;03.01.2022;3.7;1.1;-0.6
Oslo - Blindern;SN18700;04.01.2022;3.1;-2.6;-4.6
Oslo - Blindern;SN18700;05.01.2022;0.1;-2.4;-5.3
Oslo - Blindern;SN18700;06.01.2022;-0.7;-5.8;-9
Oslo - Blindern;SN18700;07.01.2022;-2.7;-4.5;-9.6
Oslo - Blindern;SN18700;08.01.2022;-2.4;-3.1;-3.7
Oslo - Blindern;SN18700;09.01.2022;-0.7;-1.4;-2.9
Oslo - Blindern;SN18700;10.01.2022;-0.8;-1.1;-1.6
Oslo - Blindern;SN18700;11.01.2022;2.7;1.5;-0.9
Oslo - Blindern;SN18700;12.01.2022;2.6;0.6;-1
Oslo - Blindern;SN18700;13.01.2022;7;4.7;0
Oslo - Blindern;SN18700;14.01.2022;12.4;3.8;1.7
Oslo - Blindern;SN18700;15.01.2022;2.2;-2.1;-3.4
Oslo - Blindern;SN18700;16.01.2022;4.9;-0.5;-5.8
Oslo - Blindern;SN18700;17.01.2022;6.3;0.6;-1.8
Oslo - Blindern;SN18700;18.01.2022;-1.4;-2.9;-5.5
Oslo - Blindern;SN18700;19.01.2022;4.8;1.5;-2
Oslo - Blindern;SN18700;20.01.2022;2.3;-0.5;-2.3
Oslo - Blindern;SN18700;21.01.2022;1.8;-1.1;-5.6
Oslo - Blindern;SN18700;22.01.2022;1.8;0.4;-1.2
Oslo - Blindern;SN18700;23.01.2022;0.6;-0.6;-1.6
Oslo - Blindern;SN18700;24.01.2022;2;-0.6;-1.6
Oslo - Blindern;SN18700;25.01.2022;5.9;-0.3;-3.1
Oslo - Blindern;SN18700;26.01.2022;6.7;1.9;-2.9
Oslo - Blindern;SN18700;27.01.2022;7.1;4.8;3.2
Oslo - Blindern;SN18700;28.01.2022;6;1.4;-1.7
Oslo - Blindern;SN18700;29.01.2022;8.7;4.6;-0.5
Oslo - Blindern;SN18700;30.01.2022;7.4;3.1;0.7
Oslo - Blindern;SN18700;31.01.2022;0.9;-4.2;-6.3
Oslo - Blindern;SN18700;01.02.2022;-4;-5;-6.6
Oslo - Blindern;SN18700;02.02.2022;-2.7;-6;-8.6
Oslo - Blindern;SN18700;03.02.2022;-4;-5.3;-9.2
Oslo - Blindern;SN18700;04.02.2022;3.8;0.9;-4
Oslo - Blindern;SN18700;05.02.2022;3.9;0.2;-5.4
Oslo - Blindern;SN18700;06.02.2022;3.9;0.1;-1.9
Oslo - Blindern;SN18700;07.02.2022;8.7;0.7;-5.5
Oslo - Blindern;SN18700;08.02.2022;8.4;2.8;-0.2
Oslo - Blindern;SN18700;09.02.2022;7;2.4;-2.1
Oslo - Blindern;SN18700;10.02.2022;5.1;0.7;-2.5
Oslo - Blindern;SN18700;11.02.2022;2.8;-1.6;-6.2
Oslo - Blindern;SN18700;12.02.2022;4.5;2.3;-3.3
